transaction_id,customer_id,store_region,product_category,quantity,unit_price,sale_amount,sale_timestamp
TXN100000,CUST1071,North,Toys,1,12.38,12.38,2026-09-03 07:14:00
TXN100001,CUST1047,South,Apparel,5,30.65,153.25,2026-09-04 01:01:00
TXN100002,CUST1359,Central,Sports,5,182.6,913.0,2026-09-02 22:41:00
TXN100003,CUST1412,South,Toys,2,137.52,275.04,2026-09-03 00:48:00
TXN100004,CUST1172,North,Electronics,4,105.37,421.48,2026-09-02 06:48:00
TXN100005,CUST1413,North,Toys,4,33.53,134.12,2026-09-03 19:16:00
TXN100006,CUST1150,Central,Home & Garden,4,163.19,652.76,2026-09-04 02:35:00
TXN100007,CUST1116,East,Electronics,5,61.73,308.65,2026-09-01 01:42:00
TXN100008,CUST1325,East,Apparel,2,260.61,521.22,2026-09-04 08:29:00
TXN100009,CUST1349,North,Grocery,3,109.8,329.4,2026-09-03 22:59:00
TXN100010,CUST1194,,Toys,2,162.57,325.14,2026-09-02 05:29:00
TXN100011,CUST1420,North,Home & Garden,5,69.79,348.95,2026-09-03 01:14:00
TXN100012,CUST1367,East,Apparel,4,83.98,335.92,2026-09-02 18:56:00
TXN100013,CUST1071,South,Toys,4,121.71,486.84,2026-09-04 04:16:00
TXN100014,CUST1185,South,Apparel,5,164.0,820.0,2026-09-04 18:25:00
TXN100015,CUST1321,South,Toys,5,150.59,752.95,2026-09-01 03:09:00
TXN100016,CUST1239,Central,Home & Garden,4,180.94,723.76,2026-09-04 12:38:00
TXN100017,CUST1058,Central,Home & Garden,5,258.93,1294.65,2026-09-01 21:46:00
TXN100018,CUST1001,East,Grocery,3,37.91,113.73,2026-09-04 05:29:00
TXN100019,CUST1430,Central,Grocery,2,154.77,309.54,2026-09-01 20:19:00
TXN100020,CUST1472,Central,Electronics,2,50.09,100.18,2026-09-02 17:49:00
TXN100021,CUST1185,East,Apparel,5,100.63,503.15,2026-09-01 03:59:00
TXN100022,CUST1248,North,Grocery,1,76.06,76.06,2026-09-01 02:46:00
TXN100023,CUST1135,Central,Grocery,2,42.88,85.76,2026-09-04 17:10:00
TXN100024,CUST1204,East,Sports,4,289.49,1157.96,2026-09-02 22:19:00
TXN100025,CUST1173,North,Grocery,5,138.19,690.95,2026-09-02 07:04:00
TXN100026,CUST1362,North,Apparel,5,72.88,364.4,2026-09-02 00:04:00
TXN100027,CUST1121,East,Toys,1,272.1,272.1,2026-09-03 02:32:00
TXN100028,CUST1451,Central,Grocery,4,68.2,272.8,2026-09-02 23:59:00
TXN100029,CUST1048,North,Toys,4,76.68,306.72,2026-09-04 13:12:00
TXN100030,CUST1373,North,Toys,4,109.52,-15.0,2026-09-04 14:55:00
TXN100031,CUST1098,South,Grocery,1,22.88,22.88,2026-09-03 03:15:00
TXN100032,CUST1127,North,Sports,4,46.35,185.4,2026-09-02 08:29:00
TXN100033,CUST1385,South,Apparel,5,33.88,169.4,2026-09-01 02:59:00
TXN100034,CUST1030,South,Sports,4,148.26,593.04,2026-09-02 12:57:00
TXN100035,CUST1216,Central,Toys,1,295.67,295.67,2026-09-03 14:18:00
TXN100036,CUST1296,Central,Electronics,4,50.67,202.68,2026-09-03 06:03:00
TXN100037,CUST1436,Central,Apparel,3,21.86,65.58,2026-09-04 16:58:00
TXN100038,CUST1304,North,Toys,1,288.43,288.43,2026-09-01 05:04:00
TXN100039,CUST1020,Central,Electronics,2,124.11,248.22,2026-09-02 18:38:00
TXN100040,CUST1342,East,,4,198.93,795.72,2026-09-03 08:13:00
TXN100041,CUST1475,North,Electronics,3,121.76,365.28,2026-09-03 14:20:00
TXN100042,CUST1109,Central,Home & Garden,4,188.24,752.96,2026-09-01 02:34:00
TXN100043,CUST1145,South,Sports,2,280.31,560.62,2026-09-01 07:23:00
TXN100044,CUST1283,East,Toys,5,212.54,1062.7,2026-09-01 21:52:00
TXN100045,CUST1455,North,Toys,1,281.98,281.98,2026-09-02 08:07:00
TXN100046,CUST1367,East,Apparel,5,50.86,254.3,2026-09-03 19:13:00
TXN100047,CUST1324,West,Home & Garden,3,154.1,462.3,2026-09-03 01:05:00
TXN100048,CUST1082,West,Grocery,1,6.05,6.05,2026-09-02 20:16:00
TXN100049,CUST1353,South,Grocery,4,170.47,681.88,2026-09-01 02:56:00
,CUST1021,East,Home & Garden,1,251.21,251.21,2026-09-02 13:08:00
TXN100051,CUST1341,North,Home & Garden,1,270.18,270.18,2026-09-02 21:15:00
TXN100052,CUST1079,South,Apparel,5,265.82,1329.1,2026-09-04 19:47:00
TXN100053,CUST1473,East,Sports,2,265.02,530.04,2026-09-01 05:47:00
TXN100054,CUST1019,West,Apparel,2,83.71,167.42,2026-09-01 12:55:00
TXN100055,CUST1420,South,Apparel,2,245.89,491.78,2026-09-04 11:19:00
TXN100056,CUST1442,North,Home & Garden,1,199.71,199.71,2026-09-04 10:17:00
TXN100057,CUST1274,East,Electronics,3,194.24,582.72,2026-09-04 21:53:00
